Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18T14:23:24Z,8467,322,0,25,72.75
#DataAnalystSalary #DataAnalysis,2023-08-17T12:35:34Z,36244,2732,0,44,0.9
How to Work with Recruiters on LinkedIn,2023-08-15T12:00:34Z,38492,1955,0,83,7.78
#dataanalysis #dataportfolio,2023-08-14T12:12:00Z,27624,2516,0,25,1.0
#wife #careerchange #dataanalysis,2023-08-11T13:13:22Z,20114,1889,0,51,0.98
LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09T13:11:45Z,6946,726,0,44,0.62
Regular Expression Character Classes in Python,2023-08-08T12:00:05Z,10589,182,0,13,10.63
#Recruiters #dataanalysis #data,2023-08-03T11:56:30Z,16162,1117,0,24,0.97
Regular Expression Metacharacters in Python,2023-08-01T12:00:26Z,8270,207,0,8,20.05
How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31T13:07:06Z,20424,794,0,41,0.77
Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28T12:48:19Z,48321,2874,0,43,0.85
Regular Expression Methods in Python,2023-07-25T12:00:19Z,12682,302,0,13,8.62
What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18T12:00:17Z,32092,1263,0,67,13.7
Scraping Data from a Real Website | Web Scraping in Python,2023-07-11T12:00:07Z,455358,8291,0,337,25.38
SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06T17:20:05Z,218393,6400,0,118,68.47
Find and Find_All | Web Scraping in Python,2023-07-04T12:00:49Z,61885,1640,0,31,12.17
500k Livestream!!,2023-06-28T17:11:25Z,6261,384,0,24,103.87
BeautifulSoup + Requests | Web Scraping in Python,2023-06-27T12:00:28Z,138366,2585,0,60,6.97
Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20T12:00:43Z,63145,1600,0,35,5.92
Best Places to Find Datasets for Your Projects,2023-06-13T12:00:16Z,136792,3715,0,79,7.73
Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06T12:00:14Z,135303,3190,0,190,32.22
Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30T16:34:20Z,10240,366,0,21,92.47
What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29T12:00:07Z,230670,4775,0,142,7.38
Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23T12:30:17Z,300899,7583,0,391,38.62
The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16T16:18:56Z,58494,1885,0,52,70.8
State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15T12:30:11Z,45853,1370,0,378,72.53
Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12T12:15:00Z,33343,803,0,80,8.68
Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09T11:30:06Z,65995,1517,0,41,16.83
Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02T12:06:33Z,103727,2323,0,62,22.15
Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27T16:32:02Z,10296,341,0,27,99.07
How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25T11:30:01Z,56945,1177,0,54,8.02
7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18T16:18:50Z,38986,1081,0,34,68.92
Google Business Intelligence Professional Certification Review,2023-04-18T11:30:08Z,42918,1193,0,71,7.07
Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10T11:30:21Z,149232,4264,0,389,11.58
Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04T11:30:10Z,82407,2055,0,112,11.08
Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28T11:30:04Z,39038,1778,0,82,8.9
Indexes in Pandas | Python Pandas Tutorials,2023-03-21T11:30:30Z,54474,1280,0,39,11.37
Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14T11:30:10Z,191623,5461,0,232,17.62
Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07T12:30:30Z,87889,1895,0,59,11.82
Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02T16:27:46Z,11186,398,0,33,88.27
Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28T12:30:18Z,176313,2971,0,91,19.28
Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21T12:32:29Z,62182,1406,0,83,16.85
